episode,runtime,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward
1,100,100,100,0,95,203.0
2,100,100,100,0,95,168.0
3,100,100,100,0,93,152.0
4,100,100,100,0,97,213.0
5,100,100,100,0,93,131.5
6,100,100,100,0,92,135.0
7,100,100,100,0,96,203.0
8,100,100,100,0,97,170.5
9,100,100,100,0,95,135.5
10,100,100,100,0,95,181.0
11,100,100,100,0,95,104.0
12,100,100,100,0,97,203.5
13,100,100,100,0,95,178.0
14,100,100,100,0,96,151.5
15,100,100,100,0,94,189.0
16,100,100,99,1,93,88.5
17,100,100,100,0,96,160.0
18,100,100,100,0,98,190.5
19,100,100,100,0,96,172.5
20,100,100,100,0,95,171.0
21,100,100,100,0,96,153.0
22,100,100,98,2,88,52.0
23,100,100,100,0,95,200.5
24,100,100,100,0,93,140.0
25,100,100,100,0,95,128.5
26,100,100,100,0,95,178.0
27,100,100,100,0,95,203.5
28,100,100,100,0,96,183.5
29,100,100,100,0,95,165.5
30,100,100,100,0,95,165.5
31,100,100,100,0,96,179.5
32,100,100,100,0,95,145.0
33,100,100,100,0,97,179.0
34,100,100,100,0,95,182.0
35,100,100,100,0,97,213.5
36,100,100,100,0,93,182.5
37,100,100,100,0,95,162.5
38,100,100,100,0,95,144.5
39,100,100,100,0,94,187.5
40,100,100,100,0,97,185.5
41,100,100,100,0,96,165.0
42,100,100,100,0,96,207.0
43,100,100,99,1,94,109.5
44,100,100,100,0,95,141.0
45,100,100,100,0,98,164.0
46,100,100,100,0,96,143.0
47,100,100,100,0,96,215.5
48,100,100,100,0,96,192.5
49,100,100,100,0,96,176.5
50,100,100,100,0,94,98.0
51,100,100,99,1,95,31.0
52,100,100,100,0,96,175.5
53,100,100,100,0,96,171.5
54,100,100,100,0,94,167.5
55,100,100,100,0,96,131.0
56,100,100,100,0,93,171.0
57,100,100,100,0,93,192.5
58,100,100,100,0,95,156.5
59,100,100,100,0,96,184.5
60,100,100,100,0,95,177.5
61,100,100,100,0,97,179.5
62,100,100,100,0,95,184.5
63,100,100,100,0,95,190.0
64,100,100,100,0,94,158.5
65,100,100,100,0,97,154.5
66,100,100,100,0,95,198.0
67,100,100,100,0,96,148.0
68,100,100,100,0,97,188.5
69,100,100,100,0,96,170.0
70,100,100,100,0,96,194.5
71,100,100,100,0,98,189.0
72,100,100,100,0,96,159.5
73,100,100,100,0,94,132.5
74,100,100,100,0,97,181.0
75,100,100,100,0,98,188.0
76,100,100,100,0,96,186.0
77,100,100,100,0,95,182.0
78,100,100,100,0,96,128.5
79,100,100,100,0,94,145.0
80,100,100,100,0,96,191.5
81,100,100,100,0,96,201.0
82,100,100,100,0,97,191.5
83,100,100,100,0,97,191.5
84,100,100,100,0,96,191.5
85,100,100,100,0,96,172.0
86,100,100,100,0,94,171.5
87,100,100,100,0,94,175.5
88,100,100,100,0,96,166.5
89,100,100,100,0,95,189.5
90,100,100,100,0,95,162.0
91,100,100,100,0,95,173.5
92,100,100,100,0,96,201.5
93,100,100,100,0,96,202.0
94,100,100,100,0,95,134.5
95,100,100,100,0,95,183.5
96,100,100,99,1,92,161.0
97,100,100,100,0,97,212.0
98,100,100,100,0,98,213.0
99,100,100,100,0,96,194.0
100,100,100,100,0,98,195.0
