State,Action,Q-value
0,0,0.000000
0,1,0.000182
0,2,0.000000
0,3,0.000000
1,0,0.000000
1,1,0.000000
1,2,0.000000
1,3,0.000000
2,0,0.000000
2,1,0.000000
2,2,0.000000
2,3,0.000000
3,0,0.000000
3,1,0.000000
3,2,0.000000
3,3,0.000000
4,0,0.000000
4,1,0.001962
4,2,0.000000
4,3,0.000000
6,0,0.000000
6,1,0.000000
6,2,0.000000
6,3,0.000000
8,0,0.000000
8,1,0.000000
8,2,0.015081
8,3,0.000000
9,0,0.000000
9,1,0.080390
9,2,0.000000
9,3,0.000000
10,0,0.000000
10,2,0.000000
10,3,0.000000
13,0,0.000000
13,1,0.000000
13,2,0.288069
13,3,0.000000
14,0,0.009255
14,2,0.686189
