Episode,round-robin,priority-based,q-learning
1,-11.0,18.5,-17.5
2,-6.5,15.0,-26.0
3,-8.0,18.0,-18.0
4,-2.0,18.0,-39.5
5,-3.5,15.0,-31.5
6,-8.0,13.5,-67.5
7,-8.0,13.5,-63.0
8,-8.0,14.0,-7.5
9,-8.0,17.5,-66.0
10,-9.5,19.5,-25.0
11,-6.5,18.0,-116.0
12,-6.5,13.5,-52.0
13,-6.5,14.0,-43.0
14,-2.0,20.0,-31.5
15,-6.5,18.0,-20.0
16,-12.5,17.0,-52.5
17,-8.0,18.0,-88.0
18,-8.0,15.0,-23.0
19,-5.0,18.0,-26.0
20,-8.0,21.0,-58.5
21,-3.5,22.5,-76.5
22,-8.0,15.5,-41.0
23,-6.5,21.0,-47.5
24,-6.5,18.5,-3.0
25,-5.0,15.5,-16.5
26,-9.5,20.0,-50.0
27,-9.5,12.0,-37.5
28,-8.0,13.5,-18.0
29,-5.0,19.5,-63.0
30,-6.5,15.5,-12.5
31,-11.0,11.0,-14.0
32,-11.0,14.5,-9.5
33,-8.0,19.5,-38.5
34,-8.0,15.5,-28.5
35,-5.0,18.5,-41.0
36,-9.5,18.5,-26.5
37,-8.0,16.5,-23.5
38,-8.0,18.0,-37.5
39,-8.0,19.5,-144.5
40,-11.0,14.0,-13.0
41,-3.5,21.5,-50.5
42,-9.5,17.5,-21.5
43,-6.5,15.0,-68.5
44,-3.5,18.0,-26.0
45,-8.0,11.5,-23.0
46,-6.5,17.0,12.0
47,-6.5,13.5,-49.5
48,-8.0,21.0,-16.0
49,-6.5,12.0,-94.0
50,-6.5,13.5,-122.5
51,-11.0,11.0,-34.5
52,-5.0,22.0,-18.0
53,-11.0,13.5,-75.5
54,-6.5,20.0,-13.0
55,-9.5,15.5,-50.0
56,-8.0,17.0,-17.0
57,-9.5,21.5,-56.5
58,-8.0,13.5,-40.5
59,-5.0,13.5,-65.0
60,-3.5,12.0,-53.0
61,-9.5,16.5,-70.0
62,-11.0,20.0,-66.5
63,-6.5,14.5,-31.0
64,-11.0,20.5,-50.0
65,-6.5,15.0,-87.0
66,-8.0,15.0,1.0
67,-12.5,17.0,-17.5
68,-8.0,17.0,-55.0
69,-11.0,17.0,-16.5
70,-6.5,17.5,-20.5
71,-3.5,23.5,-22.0
72,-2.0,20.5,-37.0
73,-8.0,14.0,-59.5
74,-9.5,21.0,-193.0
75,-6.5,18.0,-54.0
76,-9.5,6.5,-52.5
77,-9.5,13.0,-23.5
78,-5.0,16.5,-29.0
79,-8.0,13.5,-67.5
80,-6.5,14.0,-38.0
81,-8.0,22.5,-49.0
82,-9.5,12.0,-85.0
83,-3.5,16.0,-9.0
84,-8.0,13.5,0.0
85,-6.5,10.5,-96.5
86,-9.5,20.0,-36.0
87,-9.5,17.5,-20.5
88,-0.5,20.0,-125.5
89,-5.0,19.5,-71.5
90,-8.0,21.5,-14.5
91,-12.5,16.0,-51.5
92,-6.5,13.5,-72.0
93,-5.0,22.5,-87.0
94,-6.5,10.5,-13.0
95,-9.5,19.5,-12.5
96,-2.0,18.0,-4.5
97,-8.0,22.0,-33.0
98,-8.0,20.0,-57.0
99,-6.5,14.5,-43.5
100,-6.5,21.5,-41.5
