episode,runtime,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward
1,100,100,96,4,89,88.5
2,100,100,95,5,90,78.5
3,100,100,94,6,87,6.0
4,100,100,97,3,92,104.5
5,100,100,99,1,94,174.5
6,100,100,100,0,94,171.5
7,100,100,95,5,88,71.0
8,100,100,97,3,92,114.0
9,100,100,97,3,90,111.0
10,100,100,98,2,92,127.0
11,100,100,100,0,95,146.5
12,100,100,99,1,94,129.0
13,100,100,97,3,91,112.5
14,100,100,100,0,95,167.5
15,100,100,95,5,91,76.0
16,100,100,98,2,92,100.0
17,100,100,96,4,90,97.0
18,100,100,96,4,92,104.0
19,100,100,94,6,88,55.5
20,100,100,97,3,88,97.0
21,100,100,95,5,88,69.5
22,100,100,97,3,90,107.5
23,100,100,96,4,91,107.0
24,100,100,97,3,91,103.0
25,100,100,96,4,91,92.0
26,100,100,99,1,93,148.5
27,100,100,97,3,91,112.5
28,100,100,96,4,89,58.5
29,100,100,99,1,94,147.5
30,100,100,99,1,93,157.5
31,100,100,97,3,94,107.0
32,100,100,97,3,93,123.5
33,100,100,93,7,85,15.0
34,100,100,98,2,94,145.5
35,100,100,98,2,94,115.5
36,100,100,93,7,84,37.5
37,100,100,99,1,95,139.0
38,100,100,98,2,93,111.0
39,100,100,96,4,94,89.5
40,100,100,91,9,86,31.5
41,100,100,99,1,94,153.0
42,100,100,100,0,97,170.0
43,100,100,100,0,97,184.5
44,100,100,96,4,90,80.0
45,100,100,96,4,93,76.5
46,100,100,96,4,88,73.0
47,100,100,96,4,91,98.5
48,100,100,95,5,89,96.0
49,100,100,98,2,90,88.5
50,100,100,96,4,88,77.5
51,100,100,97,3,91,101.0
52,100,100,92,8,84,25.5
53,100,100,99,1,96,159.5
54,100,100,96,4,93,107.0
55,100,100,100,0,93,149.5
56,100,100,97,3,92,118.5
57,100,100,96,4,91,99.5
58,100,100,100,0,95,149.0
59,100,100,96,4,89,108.5
60,100,100,95,5,89,62.0
61,100,100,93,7,87,48.5
62,100,100,97,3,92,96.5
63,100,100,97,3,94,131.5
64,100,100,92,8,86,9.0
65,100,100,98,2,94,113.0
66,100,100,95,5,90,73.0
67,100,100,99,1,96,157.0
68,100,100,93,7,89,50.0
69,100,100,95,5,89,53.0
70,100,100,100,0,94,133.0
71,100,100,96,4,89,105.0
72,100,100,96,4,91,102.0
73,100,100,95,5,88,39.5
74,100,100,96,4,90,83.5
75,100,100,95,5,89,64.5
76,100,100,97,3,91,77.0
77,100,100,99,1,95,161.0
78,100,100,96,4,87,53.5
79,100,100,96,4,90,78.5
80,100,100,94,6,89,61.5
81,100,100,98,2,92,119.5
82,100,100,95,5,90,69.0
83,100,100,96,4,91,85.5
84,100,100,97,3,90,92.5
85,100,100,96,4,91,87.5
86,100,100,98,2,92,137.5
87,100,100,97,3,89,87.0
88,100,100,94,6,87,61.0
89,100,100,97,3,91,94.5
90,100,100,96,4,92,69.0
91,100,100,95,5,87,45.5
92,100,100,96,4,92,115.5
93,100,100,98,2,93,124.0
94,100,100,98,2,93,137.0
95,100,100,98,2,93,128.0
96,100,100,96,4,91,75.5
97,100,100,99,1,95,162.5
98,100,100,98,2,94,128.0
99,100,100,98,2,93,114.5
100,100,100,98,2,93,115.5
