episode,total_steps,total_tasks_created,tasks_accepted,tasks_dropped,tasks_completed,episode_reward,avg_queue_time,load_imbalance,server_0_freq,server_1_freq,server_2_freq
1,300,300,300,0,-1231,-3118.61,1039.5367,457.327,2.67,84.67,12.67
2,300,300,300,0,-1274,-3215.73,1071.91,473.9587,2.33,86.33,11.33
3,300,300,300,0,-1096,-3098.7,1032.9,248.1546,31.0,57.33,11.67
4,300,300,300,0,-1153,-3192.18,1064.06,274.3228,27.33,60.0,12.67
5,300,300,300,0,-1065,-3099.54,1033.18,270.356,25.67,61.33,13.0
6,300,300,300,0,-1070,-2930.6,976.8667,430.0649,10.67,10.0,79.33
7,300,300,300,0,-1141,-3180.67,1060.2233,260.9183,28.33,59.33,12.33
8,300,300,300,0,-1059,-2972.26,990.7533,240.5743,30.33,56.67,13.0
9,300,300,300,0,-1328,-3360.33,1120.11,496.1832,1.67,86.33,12.0
10,300,300,300,0,-1241,-3268.16,1089.3867,481.6798,1.67,86.33,12.0
11,300,300,300,0,-1069,-3010.78,1003.5933,233.2042,34.67,54.0,11.33
12,300,300,300,0,-1310,-3269.84,1089.9467,481.3221,2.33,86.0,11.67
13,300,300,300,0,-1314,-3269.61,1089.87,481.7951,2.33,86.0,11.67
14,300,300,300,0,-1098,-3081.23,1027.0767,267.5891,28.33,59.33,12.33
15,300,300,300,0,-1052,-3041.12,1013.7067,247.9645,29.67,58.33,12.0
16,300,300,300,0,-1306,-3306.49,1102.1633,486.6274,2.0,85.67,12.33
17,300,300,300,0,-1302,-3294.56,1098.1867,486.2368,2.0,85.67,12.33
18,300,300,300,0,-1315,-3297.87,1099.29,485.6816,2.0,86.0,12.0
19,300,300,300,0,-1078,-3090.88,1030.2933,268.5905,23.67,62.67,13.67
20,300,300,300,0,-1046,-3000.49,1000.1633,251.524,31.0,56.33,12.67
21,300,300,300,0,-1117,-3118.8,1039.6,265.3494,26.33,60.67,13.0
22,300,300,300,0,-1289,-3242.82,1080.94,477.0429,2.33,85.67,12.0
23,300,300,300,0,-1142,-3162.23,1054.0767,467.3057,11.33,10.33,78.33
24,300,300,300,0,-1355,-3318.39,1106.13,490.1489,1.67,85.33,13.0
25,300,300,300,0,-1345,-3401.2,1133.7333,503.1741,2.0,86.33,11.67
26,300,300,300,0,-1100,-3058.74,1019.58,259.836,29.0,58.0,13.0
27,300,300,300,0,-1277,-3232.48,1077.4933,476.2491,2.33,86.0,11.67
28,300,300,300,0,-1129,-3116.31,1038.77,261.6127,30.0,57.67,12.33
29,300,300,300,0,-1255,-3259.46,1086.4867,480.1764,2.0,86.0,12.0
30,300,300,300,0,-1103,-3046.77,1015.59,244.8982,31.67,55.33,13.0
31,300,300,300,0,-1069,-2963.61,987.87,437.1671,12.0,10.33,77.67
32,300,300,300,0,-996,-2967.25,989.0833,244.5116,27.33,60.33,12.33
33,300,300,300,0,-1069,-3039.32,1013.1067,243.8701,31.67,56.0,12.33
34,300,300,300,0,-1266,-3252.22,1084.0733,479.0054,2.0,86.67,11.33
35,300,300,300,0,-1388,-3383.27,1127.7567,499.6227,2.33,86.33,11.33
36,300,300,300,0,-1359,-3388.9,1129.6333,501.472,2.33,85.67,12.0
37,300,300,300,0,-1353,-3259.79,1086.5967,480.3275,2.0,86.67,11.33
38,300,300,300,0,-1143,-3156.44,1052.1467,262.4561,30.33,57.67,12.0
39,300,300,300,0,-1319,-3247.89,1082.63,478.4844,2.0,86.33,11.67
40,300,300,300,0,-1075,-3074.15,1024.7167,271.3922,25.67,61.33,13.0
41,300,300,300,0,-1044,-3045.42,1015.14,255.7911,27.33,60.0,12.67
42,300,300,300,0,-1306,-3295.5,1098.5,486.5682,1.67,85.67,12.67
43,300,300,300,0,-1098,-3118.24,1039.4133,255.2394,31.67,56.67,11.67
44,300,300,300,0,-1182,-3163.2,1054.4,256.7082,31.0,57.0,12.0
45,300,300,300,0,-1138,-3119.98,1039.9933,260.8642,29.0,59.0,12.0
46,300,300,300,0,-1223,-3099.17,1033.0567,454.356,2.33,86.67,11.0
47,300,300,300,0,-1288,-3246.72,1082.24,478.5472,2.0,85.33,12.67
48,300,300,300,0,-1069,-3083.77,1027.9233,266.7799,25.33,62.33,12.33
49,300,300,300,0,-1150,-3185.56,1061.8533,262.5094,29.67,58.67,11.67
50,300,300,300,0,-1383,-3416.67,1138.89,505.7512,1.67,86.33,12.0
51,300,300,300,0,-1010,-2984.3,994.7667,238.7777,32.33,55.67,12.0
52,300,300,300,0,-1196,-3071.45,1023.8167,450.6209,2.67,85.33,12.0
53,300,300,300,0,-1192,-3081.14,1027.0467,451.9659,2.0,86.0,12.0
54,300,300,300,0,-1255,-3168.28,1056.0933,464.9795,2.33,85.33,12.33
55,300,300,300,0,-1090,-3021.04,1007.0133,235.749,31.67,56.0,12.33
56,300,300,300,0,-1263,-3218.57,1072.8567,474.2449,1.67,86.67,11.67
57,300,300,300,0,-1113,-3133.23,1044.41,287.6809,23.67,63.33,13.0
58,300,300,300,0,-1261,-3167.06,1055.6867,466.2716,2.0,85.67,12.33
59,300,300,300,0,-1088,-3083.83,1027.9433,250.0671,29.33,58.0,12.67
60,300,300,300,0,-1218,-3159.79,1053.2633,464.1454,2.33,85.67,12.0
61,300,300,300,0,-1313,-3250.47,1083.49,479.342,2.33,86.0,11.67
62,300,300,300,0,-1234,-3223.64,1074.5467,475.1723,2.0,86.0,12.0
63,300,300,300,0,-1237,-3196.95,1065.65,470.2873,2.0,86.33,11.67
64,300,300,300,0,-1302,-3252.83,1084.2767,479.5111,1.67,87.0,11.33
65,300,300,300,0,-1125,-3144.11,1048.0367,464.2605,11.0,8.67,80.33
66,300,300,300,0,-1029,-3000.1,1000.0333,257.1251,28.33,59.67,12.0
67,300,300,300,0,-1248,-3167.87,1055.9567,464.7793,2.33,85.33,12.33
68,300,300,300,0,-1309,-3299.31,1099.77,486.9141,1.67,86.67,11.67
69,300,300,300,0,-1072,-2956.89,985.63,435.1324,10.33,9.33,80.33
70,300,300,300,0,-1190,-3045.42,1015.14,446.586,2.33,84.33,13.33
71,300,300,300,0,-1022,-3001.76,1000.5867,257.4916,26.67,59.67,13.67
72,300,300,300,0,-1366,-3325.49,1108.4967,491.3788,2.0,85.67,12.33
73,300,300,300,0,-1271,-3200.72,1066.9067,472.1175,2.33,86.0,11.67
74,300,300,300,0,-1071,-2993.38,997.7933,258.1375,28.67,58.33,13.0
75,300,300,300,0,-1311,-3273.23,1091.0767,482.3144,2.33,85.67,12.0
76,300,300,300,0,-1212,-3077.46,1025.82,452.627,2.33,85.33,12.33
77,300,300,300,0,-1290,-3313.81,1104.6033,489.7837,2.0,86.33,11.67
78,300,300,300,0,-1026,-2941.61,980.5367,255.9453,27.33,60.0,12.67
79,300,300,300,0,-1071,-3025.47,1008.49,236.4712,32.67,55.67,11.67
80,300,300,300,0,-1351,-3386.79,1128.93,499.6815,1.67,86.67,11.67
81,300,300,300,0,-1383,-3468.26,1156.0867,512.8452,2.0,86.67,11.33
82,300,300,300,0,-1083,-3050.75,1016.9167,260.335,27.67,60.0,12.33
83,300,300,300,0,-1253,-3185.83,1061.9433,470.0019,1.67,84.67,13.67
84,300,300,300,0,-1374,-3368.91,1122.97,498.3641,1.67,86.67,11.67
85,300,300,300,0,-1304,-3227.66,1075.8867,475.8899,2.33,86.33,11.33
86,300,300,300,0,-1255,-3154.13,1051.3767,463.4775,2.67,85.0,12.33
87,300,300,300,0,-1100,-3109.76,1036.5867,255.1301,31.67,56.67,11.67
88,300,300,300,0,-1085,-3154.4,1051.4667,263.7533,26.33,59.33,14.33
89,300,300,300,0,-1346,-3264.02,1088.0067,481.714,2.33,85.33,12.33
90,300,300,300,0,-1116,-3053.0,1017.6667,261.068,27.67,61.0,11.33
91,300,300,300,0,-1265,-3178.38,1059.46,467.7105,2.0,85.67,12.33
92,300,300,300,0,-1318,-3256.31,1085.4367,479.4575,2.33,85.33,12.33
93,300,300,300,0,-1404,-3415.54,1138.5133,504.896,2.67,85.0,12.33
94,300,300,300,0,-1263,-3267.43,1089.1433,481.4815,2.67,85.33,12.0
95,300,300,300,0,-1286,-3203.44,1067.8133,471.5578,2.33,85.67,12.0
96,300,300,300,0,-1249,-3231.26,1077.0867,476.7347,2.67,85.67,11.67
97,300,300,300,0,-1224,-3138.95,1046.3167,462.1026,2.33,84.33,13.33
98,300,300,300,0,-1169,-3196.9,1065.6333,265.441,31.0,56.67,12.33
99,300,300,300,0,-1334,-3273.8,1091.2667,482.1102,1.67,86.67,11.67
100,300,300,300,0,-1331,-3365.41,1121.8033,497.45,1.67,85.67,12.67
