episode,total_steps,total_tasks_created,tasks_accepted,tasks_dropped,tasks_completed,episode_reward,avg_queue_time,load_imbalance,server_0_freq,server_1_freq,server_2_freq
1,300,300,300,0,-1097,-3102.39,1034.13,9.4979,33.33,33.33,33.33
2,300,300,300,0,-1078,-3010.08,1003.36,12.6519,33.33,33.33,33.33
3,300,300,300,0,-993,-2845.38,948.46,14.094,33.33,33.33,33.33
4,300,300,300,0,-1082,-2918.51,972.8367,18.5154,33.33,33.33,33.33
5,300,300,300,0,-1023,-2957.32,985.7733,14.4175,33.33,33.33,33.33
6,300,300,300,0,-1044,-2913.32,971.1067,22.9154,33.33,33.33,33.33
7,300,300,300,0,-979,-2858.59,952.8633,28.1579,33.33,33.33,33.33
8,300,300,300,0,-944,-2758.56,919.52,19.1818,33.33,33.33,33.33
9,300,300,300,0,-1059,-3022.75,1007.5833,10.1082,33.33,33.33,33.33
10,300,300,300,0,-993,-2859.61,953.2033,17.1712,33.33,33.33,33.33
11,300,300,300,0,-987,-2851.62,950.54,10.0154,33.33,33.33,33.33
12,300,300,300,0,-1034,-2877.43,959.1433,15.2826,33.33,33.33,33.33
13,300,300,300,0,-998,-2832.75,944.25,10.2891,33.33,33.33,33.33
14,300,300,300,0,-1037,-2933.65,977.8833,9.3686,33.33,33.33,33.33
15,300,300,300,0,-1081,-3024.24,1008.08,8.153,33.33,33.33,33.33
16,300,300,300,0,-1062,-2991.81,997.27,9.8479,33.33,33.33,33.33
17,300,300,300,0,-1016,-2904.1,968.0333,12.5004,33.33,33.33,33.33
18,300,300,300,0,-1047,-2923.18,974.3933,13.692,33.33,33.33,33.33
19,300,300,300,0,-1082,-2912.4,970.8,11.1895,33.33,33.33,33.33
20,300,300,300,0,-1035,-2931.43,977.1433,9.7703,33.33,33.33,33.33
21,300,300,300,0,-1109,-3040.19,1013.3967,7.9714,33.33,33.33,33.33
22,300,300,300,0,-1111,-3042.43,1014.1433,9.3246,33.33,33.33,33.33
23,300,300,300,0,-1091,-2999.11,999.7033,24.5244,33.33,33.33,33.33
24,300,300,300,0,-939,-2693.43,897.81,12.1833,33.33,33.33,33.33
25,300,300,300,0,-1100,-3026.76,1008.92,12.5131,33.33,33.33,33.33
26,300,300,300,0,-1077,-2927.65,975.8833,22.9498,33.33,33.33,33.33
27,300,300,300,0,-1105,-3110.55,1036.85,5.9193,33.33,33.33,33.33
28,300,300,300,0,-1096,-3008.62,1002.8733,15.3474,33.33,33.33,33.33
29,300,300,300,0,-1112,-3014.16,1004.72,20.4444,33.33,33.33,33.33
30,300,300,300,0,-1049,-2956.86,985.62,8.1648,33.33,33.33,33.33
31,300,300,300,0,-1072,-2949.07,983.0233,25.8076,33.33,33.33,33.33
32,300,300,300,0,-1036,-2965.95,988.65,12.1681,33.33,33.33,33.33
33,300,300,300,0,-977,-2797.31,932.4367,11.781,33.33,33.33,33.33
34,300,300,300,0,-1054,-3041.4,1013.8,15.3036,33.33,33.33,33.33
35,300,300,300,0,-1123,-3125.44,1041.8133,10.9847,33.33,33.33,33.33
36,300,300,300,0,-1073,-2915.22,971.74,20.584,33.33,33.33,33.33
37,300,300,300,0,-1005,-2871.92,957.3067,9.8472,33.33,33.33,33.33
38,300,300,300,0,-1083,-3023.89,1007.9633,9.059,33.33,33.33,33.33
39,300,300,300,0,-1114,-3060.15,1020.05,10.3371,33.33,33.33,33.33
40,300,300,300,0,-1015,-2884.7,961.5667,21.56,33.33,33.33,33.33
41,300,300,300,0,-1087,-2942.42,980.8067,10.3782,33.33,33.33,33.33
42,300,300,300,0,-1085,-2960.95,986.9833,8.2051,33.33,33.33,33.33
43,300,300,300,0,-1069,-3050.44,1016.8133,9.262,33.33,33.33,33.33
44,300,300,300,0,-1065,-3021.61,1007.2033,15.5841,33.33,33.33,33.33
45,300,300,300,0,-1013,-2896.3,965.4333,8.4714,33.33,33.33,33.33
46,300,300,300,0,-963,-2826.01,942.0033,8.0844,33.33,33.33,33.33
47,300,300,300,0,-1038,-2891.11,963.7033,17.6041,33.33,33.33,33.33
48,300,300,300,0,-1076,-2945.78,981.9267,15.5266,33.33,33.33,33.33
49,300,300,300,0,-1026,-2883.5,961.1667,8.147,33.33,33.33,33.33
50,300,300,300,0,-1129,-3059.02,1019.6733,11.5838,33.33,33.33,33.33
51,300,300,300,0,-1027,-2865.23,955.0767,19.0724,33.33,33.33,33.33
